"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'CIF (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,18152,1329733
AT,AUSTRIA,0,0,11500,1348473
BE,BELGIUM,0,0,345352,41570950
BR,BRAZIL,0,0,9000,2243370
CA,CANADA,50160,2057008,326025,22240004
CN,CHINA,1159046,41172743,14056538,631936583
FI,FINLAND,0,0,25,18143
FR,FRANCE,0,0,393,139859
DE,GERMANY,21250,3083328,232768,30668101
HK,HONG KONG,0,0,222687,3937520
IS,ICELAND,0,0,2000,263742
IN,INDIA,775,26271,43917,5496442
ID,INDONESIA,0,0,3400,344826
IL,ISRAEL,0,0,59975,5866235
IT,ITALY,1435,501896,36735,9739909
JP,JAPAN,226873,26587905,3099987,410480634
KR,"KOREA,REPUBLIC OF",52250,3638017,2986730,228383445
MY,MALAYSIA,100180,1892220,372561,22391690
NL,NETHERLANDS,0,0,9075,2043964
AN,NETHERLANDS ANTILLES,3000,400632,18000,2240144
NZ,NEW ZEALAND,0,0,737,491579
OM,OMAN,0,0,99200,4442458
QA,QATAR,102000,2029423,331500,15015812
SA,SAUDI ARABIA,0,0,745250,40423169
SG,SINGAPORE,15200,1943614,6536112,403493156
ES,SPAIN,0,0,1207,456938
CH,SWITZERLAND,0,0,176,270567
TW,"TAIWAN, PROVINCE OF CHINA",4200,778048,98508,11119837
TH,THAILAND,0,0,17645,1812138
TN,TUNISIA,0,0,94,30884
AE,UNITED ARAB EMIRATES,49500,984867,563975,25028687
GB,UNITED KINGDOM,0,676,16714,2508560
US,UNITED STATES,198485,41461696,6899629,744129618
VN,VIETNAM,2604,312339,77443,8547360
SUM,SUM,1986958,126870683,37243010,2680454530
