"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'CIF (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1248,309754
AT,AUSTRIA,0,0,1,8200
BD,BANGLADESH,25,6035,25,6035
BE,BELGIUM,73250,5199956,1328162,95508780
BR,BRAZIL,0,0,1075,159347
CA,CANADA,0,0,17000,1336500
CN,CHINA,38000,2861989,357554,22735380
FR,FRANCE,0,0,22007,2143440
DE,GERMANY,0,0,230,95775
IN,INDIA,0,0,500,1155891
ID,INDONESIA,0,0,20,6484
IT,ITALY,0,0,46590,6605100
JP,JAPAN,98955,6515537,1936164,126250467
KR,"KOREA,REPUBLIC OF",172094,9129238,2414203,122282989
MY,MALAYSIA,98080,4687630,1656818,69885657
PT,PORTUGAL,0,0,60,45888
SA,SAUDI ARABIA,0,0,519750,25973447
SG,SINGAPORE,15000,513679,102000,5067043
ES,SPAIN,0,0,141,52616
TW,"TAIWAN, PROVINCE OF CHINA",61147,4061847,993731,62119477
TH,THAILAND,187500,11164172,481500,28373287
GB,UNITED KINGDOM,3,1895,618,209405
US,UNITED STATES,160725,7851180,558877,49216971
VN,VIETNAM,0,0,575890,8882246
SUM,SUM,904779,51993158,11014164,628430179
