"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
BE,BELGIUM,107175,6426472,1282200,75602812
BR,BRAZIL,0,0,1100,174632
CA,CANADA,0,0,42400,2479953
CN,CHINA,145339,5818169,1677965,72619029
DE,GERMANY,10015,882242,22100,2155786
IN,INDIA,0,0,1675,750799
IT,ITALY,35050,4319704,397784,39478703
JP,JAPAN,113011,6636772,1870233,119161994
KR,"KOREA,REPUBLIC OF",822400,44088982,5839960,311956849
MY,MALAYSIA,37319,3949749,838848,47049834
SA,SAUDI ARABIA,24750,1247481,1386000,66351010
SG,SINGAPORE,0,0,1825623,101313447
ES,SPAIN,25,21310,25,21310
SE,SWEDEN,0,0,40000,1578735
TW,"TAIWAN, PROVINCE OF CHINA",768100,39575385,3995287,213787976
AE,UNITED ARAB EMIRATES,0,0,366900,17916034
GB,UNITED KINGDOM,0,0,19776,2357794
US,UNITED STATES,36054,2678071,759682,48992877
VN,VIETNAM,2320,193653,13500,1109560
SUM,SUM,2101558,115837990,20381058,1124859134
