"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'CIF (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'CIF (Baht)')"
BR,BRAZIL,0,0,95,103515
CN,CHINA,19050,1170119,140074,8686633
FR,FRANCE,0,0,100,71639
DE,GERMANY,1375,114365,1376,117934
HK,HONG KONG,0,0,2,1306
IN,INDIA,0,0,225,21739
IL,ISRAEL,22400,1875729,78400,6685944
JP,JAPAN,3540,674683,87152,7932881
KR,"KOREA,REPUBLIC OF",0,0,73700,4114617
MY,MALAYSIA,20000,424213,40066,925799
NL,NETHERLANDS,0,0,50,51216
QA,QATAR,93000,4950161,169500,9224790
SG,SINGAPORE,0,0,27603,1673614
TW,"TAIWAN, PROVINCE OF CHINA",0,0,30000,3271981
US,UNITED STATES,0,0,36314,11176660
SUM,SUM,159365,9209270,684657,54060268
