"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'CIF (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'CIF (Baht)')"
AU,AUSTRALIA,429000,14552023,2176611,80521526
AT,AUSTRIA,60,31874,3880,1106045
BE,BELGIUM,500,25231,501,25569
BR,BRAZIL,0,0,25,16597
CN,CHINA,662927,37192171,10290993,478517208
HR,CROATIA,0,0,58722,502600
CZ,CZECH REPUBLIC,100,38673,302,67388
FI,FINLAND,46750,2615570,139950,7999426
FR,FRANCE,0,0,3195,337841
DE,GERMANY,0,0,5315,691542
HK,HONG KONG,0,0,2295185,17084545
IN,INDIA,67500,1256812,445607,10531216
ID,INDONESIA,37776,2733885,281791,25168572
IL,ISRAEL,0,0,10000,748442
IT,ITALY,150,8384,49725,4305845
JP,JAPAN,511350,42467887,7314075,432959714
KR,"KOREA,REPUBLIC OF",1178001,53341763,11360529,552372260
MY,MALAYSIA,76658,6952861,554250,53763212
MX,MEXICO,100,204474,262100,2089911
NL,NETHERLANDS,148500,12619284,608410,48037839
NG,NIGERIA,50,25925,50,25925
NO,NORWAY,0,0,3,1323
OM,OMAN,222750,7142883,1311750,45644857
PH,PHILIPPINES,0,0,304000,11618370
SA,SAUDI ARABIA,2248340,76246242,16638180,591231276
SG,SINGAPORE,807019,37866871,5139948,269105949
SK,SLOVAKIA,0,0,1,396
SI,SLOVENIA,0,0,11,5339
ZA,SOUTH AFRICA,148500,5116171,643500,23634527
ES,SPAIN,11000,882945,22000,1790444
TW,"TAIWAN, PROVINCE OF CHINA",267975,10874035,2337365,103495395
TH,THAILAND,0,0,101830,828283
TR,TÜRKIYE,0,0,30,60380
AE,UNITED ARAB EMIRATES,669000,21998057,2430325,85643681
GB,UNITED KINGDOM,12000,1033096,18312,1593079
US,UNITED STATES,97630,3557154,364418,14579297
VN,VIETNAM,58440,2408509,888638,34669760
SUM,SUM,7702076,341192780,66061527,2900775579
