"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'CIF (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'CIF (Baht)')"
CN,CHINA,84400,6243798,1137275,79565543
JP,JAPAN,127000,9166790,1388250,100271375
KR,"KOREA,REPUBLIC OF",616000,41905072,4189470,244175810
MY,MALAYSIA,1000,2170328,1000,2170328
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1875,616952
AE,UNITED ARAB EMIRATES,0,0,1121500,61874266
GB,UNITED KINGDOM,0,0,42000,3211127
US,UNITED STATES,323241,19893628,4077674,221758381
VN,VIETNAM,0,0,127075,6201412
SUM,SUM,1151641,79379616,12086119,719845194
