"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2013', 'Quantity')","('Jul 2013', 'CIF (Baht)')","('Jan - Jul 2013', 'Quantity')","('Jan - Jul 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1100,236038
BE,BELGIUM,85750,4728873,478601,26725573
BR,BRAZIL,0,0,18000,1016922
CA,CANADA,0,0,29000,2108166
CN,CHINA,27124,1723181,225751,12269330
FR,FRANCE,11000,887572,22000,1745746
DE,GERMANY,21000,1791680,130502,11319097
HK,HONG KONG,120,11917,364,86356
ID,INDONESIA,0,0,43438,3401273
IT,ITALY,5,2847,25440,3270927
JP,JAPAN,87950,7063072,585992,48926803
KR,"KOREA,REPUBLIC OF",291009,15058341,1180022,59362269
MY,MALAYSIA,145883,7120432,1351888,56377278
MX,MEXICO,7301,924175,25101,3092291
NL,NETHERLANDS,0,0,1,1487
SG,SINGAPORE,18,7651,69368,2764054
SE,SWEDEN,0,0,0,5481
CH,SWITZERLAND,10000,1117962,30000,3346881
TW,"TAIWAN, PROVINCE OF CHINA",52000,4789164,673275,39856998
GB,UNITED KINGDOM,0,0,150,62821
US,UNITED STATES,74081,7292119,171725,16852725
VN,VIETNAM,40710,831167,407030,7466326
SUM,SUM,853951,53350153,5468748,300294842
