"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
AU,AUSTRALIA,16467,825339,55063,3460116
AT,AUSTRIA,0,0,11165,884069
BE,BELGIUM,354810,18918109,2330180,125942700
BR,BRAZIL,99000,7171159,377000,30529127
CA,CANADA,0,0,30711,2893228
CN,CHINA,0,0,332330,17448742
FI,FINLAND,0,0,49500,2828382
FR,FRANCE,0,0,3,25630
DE,GERMANY,15060,2789904,34221,21064671
HK,HONG KONG,0,0,11,2386
IN,INDIA,0,0,12000,1068509
ID,INDONESIA,0,0,17000,717784
IL,ISRAEL,0,0,165,63622
IT,ITALY,26002,1038903,156502,10063797
JP,JAPAN,1697683,81295153,12732558,597179312
KR,"KOREA,REPUBLIC OF",906050,37800400,2906462,127646279
KW,KUWAIT,569250,21885677,4356000,177647556
LU,LUXEMBOURG,0,0,7,5328
MY,MALAYSIA,227500,8691029,1953750,82012246
NL,NETHERLANDS,40,11730,40,11730
PH,PHILIPPINES,0,0,192000,8282200
QA,QATAR,2426820,97616564,13320340,557916552
SA,SAUDI ARABIA,2620350,102784168,17768350,726981145
SG,SINGAPORE,2086125,83119486,16470505,704540772
ES,SPAIN,0,0,241170,13025243
CH,SWITZERLAND,0,0,50240,2777328
TW,"TAIWAN, PROVINCE OF CHINA",125025,5424824,2792225,133006566
TH,THAILAND,16002,697650,49736,1838533
AE,UNITED ARAB EMIRATES,1509750,59408103,8719300,361311219
GB,UNITED KINGDOM,100,52609,628,455811
US,UNITED STATES,353111,18210053,1742842,94853683
VN,VIETNAM,26,3971,6626,251022
SUM,SUM,13049171,547744831,86708630,3806735288
