"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,9000,927415
CN,CHINA,80,27645,33306,2654392
DE,GERMANY,0,0,7025,862332
JP,JAPAN,1303,173089,70353,4940486
KR,"KOREA,REPUBLIC OF",25,8921,23375,1525681
NL,NETHERLANDS,121000,5844394,817250,39588828
SA,SAUDI ARABIA,148500,6052415,1183500,48291195
SG,SINGAPORE,1635115,93632527,9619605,579558181
ES,SPAIN,8800,572684,104350,5772710
TH,THAILAND,0,0,25,17268
AE,UNITED ARAB EMIRATES,368550,14778175,2190275,89677027
GB,UNITED KINGDOM,0,0,25,14852
US,UNITED STATES,29225,2389740,213773,16774972
SUM,SUM,2312598,123479590,14271862,790605339
