"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
CN,CHINA,0,0,12001,956063
FR,FRANCE,500,108778,2500,543890
IN,INDIA,51,4913,51,4913
JP,JAPAN,46413,8057719,69594,11959286
KR,"KOREA,REPUBLIC OF",60000,3215166,158000,8523612
MY,MALAYSIA,0,0,50,24003
SG,SINGAPORE,0,0,25500,1230610
ES,SPAIN,0,0,25,46246
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,31410
US,UNITED STATES,115,55783,117,94573
SUM,SUM,107079,11442359,267938,23414606
