"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
CA,CANADA,0,0,607,113491
CN,CHINA,18006,1096538,173800,10502252
FR,FRANCE,9900,1534593,11000,1727782
DE,GERMANY,0,0,22,9979
HK,HONG KONG,0,0,64,24532
IN,INDIA,0,0,60,17565
IT,ITALY,0,0,6875,1365079
JP,JAPAN,21000,2242273,154871,15876624
KR,"KOREA,REPUBLIC OF",24000,1883658,139200,10110577
SG,SINGAPORE,0,0,792414,34140858
AE,UNITED ARAB EMIRATES,13000,671707,65000,3267497
GB,UNITED KINGDOM,0,0,5,2735
US,UNITED STATES,12701,1368961,33333,3485996
SUM,SUM,98607,8797730,1377251,80644967
