"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'CIF (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'CIF (Baht)')"
AT,AUSTRIA,6000,588239,18000,1778404
BE,BELGIUM,69650,6237508,341075,29508570
CA,CANADA,750,231247,9900,2717282
CN,CHINA,920264,28252997,4155627,143706296
CZ,CZECH REPUBLIC,0,0,100,12296
FI,FINLAND,0,0,50,5414
FR,FRANCE,500,126292,500,126292
DE,GERMANY,21287,1795008,92007,8113051
HK,HONG KONG,25100,324515,138596,1499999
IN,INDIA,4000,723250,8600,1526447
ID,INDONESIA,0,0,1,131
IT,ITALY,0,0,28865,1704191
JP,JAPAN,260198,33220645,2215889,171406275
KR,"KOREA,REPUBLIC OF",980982,57159616,2648047,149562414
MY,MALAYSIA,18509,590781,127972,6968506
NL,NETHERLANDS,1020,174308,8121,976481
NO,NORWAY,0,0,1,860
PH,PHILIPPINES,0,0,25007,235271
SA,SAUDI ARABIA,43200,1576044,114300,4599726
SG,SINGAPORE,1924363,77879428,9575995,383303948
ES,SPAIN,2000,179729,41800,4642138
SE,SWEDEN,0,0,40000,2772286
TW,"TAIWAN, PROVINCE OF CHINA",2635,370382,51267,3556244
TH,THAILAND,562690,13937723,1351670,25529306
TR,TÜRKIYE,0,0,27375,793282
UA,UKRAINE,0,0,10,2752
AE,UNITED ARAB EMIRATES,25950,1126093,374600,15788161
GB,UNITED KINGDOM,23880,948143,54267,2810863
US,UNITED STATES,917202,65515831,3210141,294108995
VN,VIETNAM,40000,2080144,337280,16167948
SUM,SUM,5850180,293037923,24997063,1273923829
