"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'CIF (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'CIF (Baht)')"
BD,BANGLADESH,0,0,250,32127
BE,BELGIUM,176825,12211831,1484742,91998894
CA,CANADA,0,0,175720,11218158
CN,CHINA,147733,6838211,1130780,63503153
DE,GERMANY,3000,210263,26767,2443271
HK,HONG KONG,0,0,9,1875
IN,INDIA,0,0,4085,716945
IT,ITALY,22900,2717071,99011,12281827
JP,JAPAN,86895,5866329,1495649,104126902
KR,"KOREA,REPUBLIC OF",166371,9648176,4667130,247452554
LA,LAO PDR,0,0,4,11613
MY,MALAYSIA,118230,7480879,1173106,56507074
MX,MEXICO,0,0,6577,1212883
NZ,NEW ZEALAND,912,576248,912,576248
SA,SAUDI ARABIA,272250,12483453,1955250,90486075
SG,SINGAPORE,1325,90321,147380,6882419
TW,"TAIWAN, PROVINCE OF CHINA",370903,20997021,1663897,96919281
GB,UNITED KINGDOM,25,28496,6943,1522686
US,UNITED STATES,38550,2443583,973643,56553532
VN,VIETNAM,35720,884971,316820,6544329
SUM,SUM,1441639,82476853,15328675,850991846
