"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'CIF (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'CIF (Baht)')"
BD,BANGLADESH,0,0,11,1088
BE,BELGIUM,0,0,74250,2564371
BR,BRAZIL,0,0,4125,382287
CN,CHINA,3002,145356,39744,1769754
CZ,CZECH REPUBLIC,0,0,50,22373
FR,FRANCE,0,0,1,610
DE,GERMANY,0,0,21,8800
HK,HONG KONG,0,0,21,5899
IN,INDIA,0,0,21001,1851306
JP,JAPAN,16504,812259,182031,10924415
KR,"KOREA,REPUBLIC OF",0,0,37879,2279850
MY,MALAYSIA,50,51805,24321,1111041
NL,NETHERLANDS,0,0,19705,1046585
QA,QATAR,52000,1717841,689500,18656250
SA,SAUDI ARABIA,21600,759034,2901600,79761968
ES,SPAIN,0,0,120,67684
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24030,3230901
AE,UNITED ARAB EMIRATES,0,0,535500,18624398
US,UNITED STATES,0,0,135482,4127219
VN,VIETNAM,0,0,118275,4488282
SUM,SUM,93156,3486295,4807667,150925081
