"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
CN,CHINA,0,0,35,12251
HK,HONG KONG,200,107965,200,107965
ID,INDONESIA,0,0,100,39263
JP,JAPAN,144150,6390292,678445,27551287
KR,"KOREA,REPUBLIC OF",0,0,110000,3386443
MY,MALAYSIA,0,0,50,9969
SA,SAUDI ARABIA,297000,11007753,767250,25916447
TW,"TAIWAN, PROVINCE OF CHINA",18000,1590240,72000,5674773
US,UNITED STATES,0,0,225001,9352196
SUM,SUM,459350,19096250,1853081,72050594
