"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'CIF (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'CIF (Baht)')"
BE,BELGIUM,12000,1159917,24000,2319853
CN,CHINA,50050,3568416,156075,11234513
DE,GERMANY,0,0,500,155829
IN,INDIA,0,0,2000,421795
IT,ITALY,0,0,141625,28774090
JP,JAPAN,0,0,160000,17127187
KR,"KOREA,REPUBLIC OF",0,0,76800,5659076
MY,MALAYSIA,0,0,2000,166132
SG,SINGAPORE,0,0,87000,4469593
TW,"TAIWAN, PROVINCE OF CHINA",0,0,5000,741014
AE,UNITED ARAB EMIRATES,100,4462,26100,1211617
US,UNITED STATES,16000,1012291,82780,7262177
VN,VIETNAM,0,0,16500,960665
SUM,SUM,78150,5745086,780380,80503541
