"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'CIF (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'CIF (Baht)')"
CA,CANADA,0,0,10000,1456900
CN,CHINA,5000,974361,47643,10550374
FR,FRANCE,0,0,2,1175
DE,GERMANY,0,0,516,205671
IN,INDIA,0,0,1665,108142
IL,ISRAEL,0,0,10,6818
JP,JAPAN,10354,1898876,67115,12092192
MY,MALAYSIA,0,0,0,57
NL,NETHERLANDS,0,0,25,13671
SG,SINGAPORE,0,0,10,1745
TW,"TAIWAN, PROVINCE OF CHINA",0,0,121,11577
TR,TÜRKIYE,0,0,5,157
GB,UNITED KINGDOM,1,1070,695,355342
US,UNITED STATES,0,0,46572,1929877
VN,VIETNAM,0,0,6,869
SUM,SUM,15355,2874307,174385,26734567
