"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'CIF (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'CIF (Baht)')"
BE,BELGIUM,36000,4437940,96000,11280614
CN,CHINA,54,33932,554,69906
ID,INDONESIA,0,0,2,2033
JP,JAPAN,8000,572465,55700,4973704
KR,"KOREA,REPUBLIC OF",64000,3856873,128000,7697366
OM,OMAN,0,0,60,24676
SG,SINGAPORE,384000,15201660,1560000,59752471
AE,UNITED ARAB EMIRATES,0,0,197700,7164034
US,UNITED STATES,34928,3874254,1150508,76130044
SUM,SUM,526982,27977124,3188524,167094848
