"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'CIF (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'CIF (Baht)')"
AU,AUSTRALIA,6250,582312,18350,1234222
BE,BELGIUM,123750,7425953,644750,33484883
BR,BRAZIL,0,0,17875,2071054
CA,CANADA,408700,14857660,1512800,52612676
CN,CHINA,315828,16703816,590082,32249647
DE,GERMANY,0,0,208,81746
ID,INDONESIA,701025,31374098,3925950,144531587
IL,ISRAEL,0,0,18040,1621603
JP,JAPAN,96800,7630663,457795,43767776
KR,"KOREA,REPUBLIC OF",42269,2555487,232269,10403953
KW,KUWAIT,346500,12803906,1460250,50340451
MY,MALAYSIA,237866,10318325,774486,28669984
OM,OMAN,0,0,200,4970
QA,QATAR,535500,22633202,1887000,70174420
SA,SAUDI ARABIA,3526200,139620504,19539820,686439130
SG,SINGAPORE,193875,9154841,2141400,86507654
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1200,2401436
AE,UNITED ARAB EMIRATES,569250,23588181,6133025,231243874
US,UNITED STATES,517931,27952410,2877421,122141793
VN,VIETNAM,0,0,155,22973
SUM,SUM,7621744,327201358,42233076,1600005832
