"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'CIF (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'CIF (Baht)')"
AU,AUSTRALIA,413344,10697644,559124,14533219
AT,AUSTRIA,0,0,11000,616407
BE,BELGIUM,57950,3471328,598610,32165714
BR,BRAZIL,60000,5448581,179500,16040491
CA,CANADA,0,0,11000,664926
CN,CHINA,181510,8539151,2290660,104633823
FI,FINLAND,0,0,46750,2574007
FR,FRANCE,0,0,1575,82971
DE,GERMANY,101630,7415623,250090,31297874
HK,HONG KONG,0,0,22,4633
IN,INDIA,1000,167776,1000,167776
ID,INDONESIA,0,0,45251,1997109
IT,ITALY,31000,1736207,95211,5433445
JP,JAPAN,1456823,76034972,8731087,489397346
KR,"KOREA,REPUBLIC OF",308050,15220592,675805,31543954
KW,KUWAIT,470250,22008387,4207500,176627570
MY,MALAYSIA,300600,14592477,2146775,93738056
NL,NETHERLANDS,0,0,100,66350
QA,QATAR,1256500,58431831,3972500,175493750
SA,SAUDI ARABIA,4285750,194559355,18443600,765156273
SG,SINGAPORE,1303230,64610357,11405689,488099686
CH,SWITZERLAND,80,74769,80,74769
TW,"TAIWAN, PROVINCE OF CHINA",23000,986119,51575,3312557
TH,THAILAND,0,0,26,4627
AE,UNITED ARAB EMIRATES,907000,41098912,8021050,330754513
GB,UNITED KINGDOM,0,0,20,4738
US,UNITED STATES,160271,9335059,1804953,96912254
VN,VIETNAM,500,32442,500,32442
SUM,SUM,11318488,534461582,63551053,2861431280
