"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
AU,AUSTRALIA,304,67964,356,82354
BE,BELGIUM,0,0,20005,2733817
CA,CANADA,51000,2117991,51020,2126019
CN,CHINA,1242232,52307261,2622662,116871480
DK,DENMARK,0,0,6,30707
DE,GERMANY,40,13327,21292,3098549
IN,INDIA,2,207,14962,1341871
IT,ITALY,0,0,420,123788
JP,JAPAN,348709,47122346,544746,71970065
KR,"KOREA,REPUBLIC OF",69850,5955407,117850,11355236
MY,MALAYSIA,400,56639,402,56758
MX,MEXICO,0,0,25,18901
NL,NETHERLANDS,0,0,6618,1351218
NZ,NEW ZEALAND,25,60562,25,60562
PL,POLAND,11,8245,11,8245
QA,QATAR,0,0,306000,5890230
SA,SAUDI ARABIA,0,0,148500,6236740
SG,SINGAPORE,330000,21887862,1030300,54629135
ES,SPAIN,1300,406781,1301,407046
CH,SWITZERLAND,0,0,6420,939203
TW,"TAIWAN, PROVINCE OF CHINA",7100,1126625,11700,1705860
AE,UNITED ARAB EMIRATES,0,0,297000,11624580
US,UNITED STATES,273645,42454051,1270619,116989871
VN,VIETNAM,504,85397,4509,538022
SUM,SUM,2325122,173670665,6476749,410190257
