"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'CIF (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'CIF (Baht)')"
AT,AUSTRIA,0,0,12000,1190165
BE,BELGIUM,0,0,271425,23271062
CA,CANADA,1500,421869,9150,2486035
CN,CHINA,699579,27904861,3235363,115453299
CZ,CZECH REPUBLIC,0,0,100,12296
FI,FINLAND,0,0,50,5414
DE,GERMANY,21250,1768755,70720,6318043
HK,HONG KONG,29040,314460,113496,1175484
IN,INDIA,500,50177,4600,803197
ID,INDONESIA,0,0,1,131
IT,ITALY,28865,1704191,28865,1704191
JP,JAPAN,847469,37556688,1955691,138185630
KR,"KOREA,REPUBLIC OF",766875,39731429,1667065,92402798
MY,MALAYSIA,506,86899,109463,6377725
NL,NETHERLANDS,4000,521302,7101,802173
NO,NORWAY,1,860,1,860
PH,PHILIPPINES,0,0,25007,235271
SA,SAUDI ARABIA,0,0,71100,3023682
SG,SINGAPORE,2482341,100359362,7651632,305424520
ES,SPAIN,0,0,39800,4462409
SE,SWEDEN,0,0,40000,2772286
TW,"TAIWAN, PROVINCE OF CHINA",2500,285583,48632,3185862
TH,THAILAND,33500,1008557,788980,11591583
TR,TÜRKIYE,23375,696071,27375,793282
UA,UKRAINE,0,0,10,2752
AE,UNITED ARAB EMIRATES,24750,902550,348650,14662068
GB,UNITED KINGDOM,8250,861967,30387,1862720
US,UNITED STATES,313819,30997558,2292939,228593164
VN,VIETNAM,50000,2603623,297280,14087804
SUM,SUM,5338120,247776762,19146883,980885906
