"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'CIF (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'CIF (Baht)')"
BE,BELGIUM,150625,7550438,319200,17518956
CA,CANADA,25400,1276889,42400,2479953
CN,CHINA,155035,5314941,328945,12416679
DE,GERMANY,11,6433,10016,876071
IN,INDIA,50,16879,50,16879
IT,ITALY,0,0,19550,2686232
JP,JAPAN,123704,9331595,415917,26434479
KR,"KOREA,REPUBLIC OF",480440,25208050,1236440,65325151
MY,MALAYSIA,119410,6105338,252090,12427031
SA,SAUDI ARABIA,173250,7972589,445500,21010324
SG,SINGAPORE,1600,239765,13600,918196
TW,"TAIWAN, PROVINCE OF CHINA",154140,8310528,385140,21081425
AE,UNITED ARAB EMIRATES,62400,2917141,156900,7700668
US,UNITED STATES,109303,6811622,275287,17576491
VN,VIETNAM,1200,84533,1400,89792
SUM,SUM,1556568,81146741,3902435,208558327
