"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'CIF (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'CIF (Baht)')"
CA,CANADA,24750,1083318,74450,3272821
CN,CHINA,0,0,60713,2753297
DE,GERMANY,0,0,100,52863
HK,HONG KONG,0,0,25501,992954
JP,JAPAN,2400,247032,43009,3775415
KR,"KOREA,REPUBLIC OF",19050,1680072,76250,6668902
NL,NETHERLANDS,35750,2053499,156750,8758894
QA,QATAR,51000,1763187,102000,3486934
SA,SAUDI ARABIA,519750,22444322,1264500,50741972
SG,SINGAPORE,1782165,89861585,11287805,556801230
ES,SPAIN,42700,3249065,201400,13736964
AE,UNITED ARAB EMIRATES,645875,26280563,4444375,169533190
US,UNITED STATES,448593,21047095,6571721,273410068
VN,VIETNAM,0,0,75,2270
SUM,SUM,3572033,169709738,24308649,1093987774
