"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'CIF (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'CIF (Baht)')"
CN,CHINA,0,0,31098,2009636
JP,JAPAN,1020,78584,149220,11282255
MY,MALAYSIA,0,0,40000,2379785
NL,NETHERLANDS,0,0,1250,117214
SA,SAUDI ARABIA,173250,7882054,718500,33240932
SG,SINGAPORE,763000,50700990,3680450,246568137
TH,THAILAND,0,0,75,16846
AE,UNITED ARAB EMIRATES,123750,5182624,247500,10352324
US,UNITED STATES,4400,455731,832478,70682061
SUM,SUM,1065420,64299983,5700571,376649190
