"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'CIF (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,44000,940506
AT,AUSTRIA,0,0,560,135368
BE,BELGIUM,100080,3476649,561886,19541048
BR,BRAZIL,239500,20233489,870125,71055897
CN,CHINA,61025,3597921,536338,24693764
CZ,CZECH REPUBLIC,0,0,75,16883
FR,FRANCE,22000,1004517,110000,5462328
DE,GERMANY,20050,8077381,179055,29277937
HK,HONG KONG,0,0,7,2855
IN,INDIA,0,0,54500,1544903
ID,INDONESIA,0,0,2058,167165
IL,ISRAEL,0,0,450,83962
IT,ITALY,306610,13486473,1622395,76420945
JP,JAPAN,904831,49873188,5329125,261309475
KR,"KOREA,REPUBLIC OF",672000,19479714,3015055,91106379
KW,KUWAIT,742500,19104778,2994750,79000442
MY,MALAYSIA,1279700,36870703,6140050,190901997
NL,NETHERLANDS,0,0,22007,2058808
NO,NORWAY,82,18765,82,18765
PT,PORTUGAL,0,0,50,17307
QA,QATAR,608120,17721290,6371960,177581050
SA,SAUDI ARABIA,1502000,36115225,7716500,199546851
SG,SINGAPORE,1342040,35498721,7482555,212065550
CH,SWITZERLAND,0,0,146240,7018286
TW,"TAIWAN, PROVINCE OF CHINA",2200,124387,1145500,49400120
TH,THAILAND,0,0,16475,814305
AE,UNITED ARAB EMIRATES,1471750,44543527,7621418,217338307
US,UNITED STATES,2048441,57740683,13600324,392251435
SUM,SUM,11322929,366967411,65583540,2109772638
