"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'CIF (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'CIF (Baht)')"
AU,AUSTRALIA,18400,655150,19016,711053
AT,AUSTRIA,0,0,40,48809
BE,BELGIUM,131520,6677155,962140,50998937
BR,BRAZIL,125375,10617763,2402250,189768816
CA,CANADA,0,0,27080,1470949
CN,CHINA,34151,3506720,485466,31144925
FI,FINLAND,0,0,150,12589
FR,FRANCE,24000,1465846,217875,12704948
DE,GERMANY,37382,4194105,725501,84450849
IN,INDIA,0,0,15000,796277
ID,INDONESIA,1000,42633,174110,7227904
IT,ITALY,214405,14897111,1383005,73952255
JP,JAPAN,820221,44042106,8051044,390797023
KR,"KOREA,REPUBLIC OF",1157100,46257418,8113151,308821033
KW,KUWAIT,247500,9015767,1732500,59840941
MY,MALAYSIA,451504,16750001,3318654,120046172
NL,NETHERLANDS,6500,707954,7475,924202
NO,NORWAY,0,0,18,5448
OM,OMAN,0,0,247800,8604972
PH,PHILIPPINES,0,0,27,8321
PT,PORTUGAL,300,9809,525,21236
QA,QATAR,2999500,118544563,14116180,533969400
RU,RUSSIAN FEDERATION,297000,10877923,297000,10877923
SA,SAUDI ARABIA,1873685,73353766,11191529,404359124
SG,SINGAPORE,1143750,46699903,14898620,586896455
ZA,SOUTH AFRICA,0,0,25,4508
CH,SWITZERLAND,0,0,11000,499218
TW,"TAIWAN, PROVINCE OF CHINA",99500,5110699,1357600,63476735
TH,THAILAND,0,0,2,2095
AE,UNITED ARAB EMIRATES,643300,26757967,5615075,205860152
GB,UNITED KINGDOM,0,0,2,3605
US,UNITED STATES,1057714,60667580,12478652,536464588
VN,VIETNAM,300,14056,373,26549
SUM,SUM,11384107,500865995,87848885,3684798011
