"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'CIF (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'CIF (Baht)')"
AT,AUSTRIA,25,10141,375,162553
BE,BELGIUM,73647,5150912,95597,7464777
CA,CANADA,1500,532842,4500,1091587
CN,CHINA,306932,14243821,527176,24514352
FR,FRANCE,100,3739,100,3739
DE,GERMANY,32300,4047560,85050,9535053
HK,HONG KONG,0,0,426,49987
IT,ITALY,0,1193,1200,897953
JP,JAPAN,323726,32643067,535462,61806970
KR,"KOREA,REPUBLIC OF",795651,54021108,1613526,108920657
MY,MALAYSIA,45273,3132005,79793,5716593
NL,NETHERLANDS,0,0,1200,91896
QA,QATAR,25500,1037417,178500,7523226
SA,SAUDI ARABIA,1336550,57055379,2224400,95870871
SG,SINGAPORE,1866985,94581771,3635795,188537810
ES,SPAIN,0,0,22000,2106191
TW,"TAIWAN, PROVINCE OF CHINA",139928,8015229,212128,12333689
TH,THAILAND,0,0,8850,514556
AE,UNITED ARAB EMIRATES,508350,22574102,916850,40227662
US,UNITED STATES,877506,87432134,2203328,194513751
VN,VIETNAM,9000,798960,9100,804010
VG,VIRGIN ISLANDS (BRITISH),0,0,137,141409
SUM,SUM,6342973,385281380,12355493,762829292
