"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,25,10831
BE,BELGIUM,27800,1626309,105725,5880208
BR,BRAZIL,382300,28420743,1898000,102636560
CA,CANADA,63610,679990,180260,3615153
CN,CHINA,193069,6524813,418874,23279438
CZ,CZECH REPUBLIC,0,0,2,1536
FI,FINLAND,198000,12193491,247400,14650350
FR,FRANCE,0,0,44010,3110781
DE,GERMANY,260951,16308202,1348811,83572093
HK,HONG KONG,37,246354,37,246354
IN,INDIA,25,2544,2049,175398
ID,INDONESIA,49250,2275465,63750,5075536
IL,ISRAEL,0,0,20800,1791347
IT,ITALY,5250,1512783,24496,5345175
JP,JAPAN,188769,15592685,918544,73463026
KR,"KOREA,REPUBLIC OF",244300,11687859,1328771,58634167
KW,KUWAIT,1039500,41309651,3440250,116851663
LU,LUXEMBOURG,1250,215442,31250,3549670
MY,MALAYSIA,3329520,181659383,21992832,1014373596
NL,NETHERLANDS,393980,22422582,1572935,87525927
NO,NORWAY,126310,5913992,412020,19728400
QA,QATAR,637500,31098818,6271000,255066297
SA,SAUDI ARABIA,2411620,113809225,16924890,690671650
SG,SINGAPORE,1421750,78905031,9657572,452758731
SI,SLOVENIA,0,0,1,973
ES,SPAIN,80790,5574716,273985,18409889
CH,SWITZERLAND,0,0,1,977
TW,"TAIWAN, PROVINCE OF CHINA",21000,2130275,44028,4524816
TH,THAILAND,0,0,1400,14040
TT,TRINIDAD AND TOBAGO,0,0,23800,114775
AE,UNITED ARAB EMIRATES,618750,28635642,2524500,103912393
GB,UNITED KINGDOM,0,0,22502,1811242
US,UNITED STATES,226424,11950453,1496230,75317447
VN,VIETNAM,12000,1653749,431002,22941647
SUM,SUM,11933755,622350197,71721752,3249062086
