"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'CIF (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'CIF (Baht)')"
AU,AUSTRALIA,10,5378,16010,716698
BE,BELGIUM,105860,10415344,649340,43116822
BR,BRAZIL,260000,24544834,1474900,136332528
CA,CANADA,3742,435162,18484,1588285
CN,CHINA,448997,21909183,623541,32270668
CZ,CZECH REPUBLIC,0,0,1,806
FR,FRANCE,115500,7963527,371700,25087944
DE,GERMANY,3781,7246919,54194,33197210
GH,GHANA,0,0,100,91758
IN,INDIA,50,5527,2550,127602
ID,INDONESIA,500,57241,98525,4445089
IT,ITALY,537775,38665846,1991330,132575835
JP,JAPAN,1175490,70456499,4117244,257699671
KR,"KOREA,REPUBLIC OF",1762575,82329169,3922900,177246200
KW,KUWAIT,198000,8891975,891000,37911913
MY,MALAYSIA,369750,16992495,2469275,106140047
NL,NETHERLANDS,0,0,2000,369474
NO,NORWAY,120280,9363063,120280,9363063
OM,OMAN,470250,20098865,1113750,47267678
QA,QATAR,495360,22583861,4755600,206097989
RU,RUSSIAN FEDERATION,445500,17575609,445500,17575609
SA,SAUDI ARABIA,1131000,51675618,3416380,148225125
SG,SINGAPORE,1205000,60692351,5406225,246912344
TW,"TAIWAN, PROVINCE OF CHINA",417125,22857778,919426,49271503
TH,THAILAND,56003,2604676,56003,2604676
AE,UNITED ARAB EMIRATES,22000,1074111,1161875,52759463
GB,UNITED KINGDOM,1,815,1,815
US,UNITED STATES,1609335,98667499,5532060,318741581
VN,VIETNAM,0,0,200,8812
SUM,SUM,10953884,597113345,39630394,2087747208
