"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'CIF (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'CIF (Baht)')"
AU,AUSTRALIA,90,130261,90,130261
BE,BELGIUM,1725,173309,1725,173309
BR,BRAZIL,965250,44392725,965250,44392725
CA,CANADA,21200,170431,21200,170431
CN,CHINA,393719,15999691,393719,15999691
CZ,CZECH REPUBLIC,85,28253,85,28253
FI,FINLAND,49500,3066169,49500,3066169
DE,GERMANY,310002,21395346,310002,21395346
ID,INDONESIA,2500,1314436,2500,1314436
IT,ITALY,4275,971937,4275,971937
JP,JAPAN,158229,15670185,158229,15670185
KR,"KOREA,REPUBLIC OF",364095,19815785,364095,19815785
KW,KUWAIT,173250,6148603,173250,6148603
LU,LUXEMBOURG,7600,1004636,7600,1004636
MY,MALAYSIA,8130550,296625342,8130550,296625342
NL,NETHERLANDS,272537,19906687,272537,19906687
NO,NORWAY,17140,981414,17140,981414
QA,QATAR,867000,32054264,867000,32054264
SA,SAUDI ARABIA,4615400,165084653,4615400,165084653
SG,SINGAPORE,2111750,84337986,2111750,84337986
CH,SWITZERLAND,1440,223911,1440,223911
TW,"TAIWAN, PROVINCE OF CHINA",900,132248,900,132248
TH,THAILAND,126000,4595925,126000,4595925
AE,UNITED ARAB EMIRATES,198000,6791116,198000,6791116
GB,UNITED KINGDOM,5000,753379,5000,753379
US,UNITED STATES,102963,4355611,102963,4355611
VN,VIETNAM,4000,515449,4000,515449
SUM,SUM,18904200,746639752,18904200,746639752
