"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'CIF (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'CIF (Baht)')"
AU,AUSTRALIA,1,212,1,212
CN,CHINA,7,2968,25745,1038094
FR,FRANCE,1780,379094,5910,1240625
HK,HONG KONG,0,0,24,12784
IN,INDIA,0,0,18,1954
IL,ISRAEL,0,0,48000,3331368
IT,ITALY,6,2304,6,2304
JP,JAPAN,31538,3988621,165942,19953556
KR,"KOREA,REPUBLIC OF",22320,1228909,593320,42782703
MY,MALAYSIA,0,0,2,323
PA,PANAMA,0,0,2,11466
QA,QATAR,0,0,68000,2294702
CH,SWITZERLAND,1,1157,1,1157
TW,"TAIWAN, PROVINCE OF CHINA",0,0,354,159625
TH,THAILAND,24950,709713,24950,709713
GB,UNITED KINGDOM,0,0,1007,273471
US,UNITED STATES,5,3715,24,38017
SUM,SUM,80608,6316693,933306,71852074
