"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'CIF (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'CIF (Baht)')"
CA,CANADA,24750,1078717,49700,2189503
CN,CHINA,4023,370036,60713,2753297
DE,GERMANY,100,52863,100,52863
HK,HONG KONG,0,0,25501,992954
JP,JAPAN,16685,1496278,40609,3528383
KR,"KOREA,REPUBLIC OF",8000,957597,57200,4988830
NL,NETHERLANDS,0,0,121000,6705395
QA,QATAR,25500,902010,51000,1723747
SA,SAUDI ARABIA,67500,4639112,744750,28297650
SG,SINGAPORE,1384955,77255020,9505640,466939645
ES,SPAIN,17600,1245128,158700,10487899
AE,UNITED ARAB EMIRATES,420750,17824650,3798500,143252627
US,UNITED STATES,587975,28514519,6123128,252362973
VN,VIETNAM,0,0,75,2270
SUM,SUM,2557838,134335930,20736616,924278036
