"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'CIF (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'CIF (Baht)')"
AT,AUSTRIA,50,80458,50,80458
BE,BELGIUM,14760,1569702,14760,1569702
CN,CHINA,169925,19273235,283525,29084147
FR,FRANCE,0,0,86,40392
DE,GERMANY,16135,2403684,23150,4558486
HK,HONG KONG,200,45623,216,247571
IN,INDIA,300,114257,300,114257
IT,ITALY,0,0,1000,79210
JP,JAPAN,228169,47405650,546784,105409380
KR,"KOREA,REPUBLIC OF",268440,19506896,646165,41335665
KW,KUWAIT,0,0,99000,4263230
MY,MALAYSIA,113840,14563430,177840,22201731
NL,NETHERLANDS,118700,11737832,348800,35035346
NO,NORWAY,12,6061,28,16424
SA,SAUDI ARABIA,594000,24612476,891000,37772477
SG,SINGAPORE,75521,7077811,162361,16290565
ES,SPAIN,0,0,371250,16337197
CH,SWITZERLAND,500,291475,500,291475
TW,"TAIWAN, PROVINCE OF CHINA",45600,4396851,50000,4743868
TH,THAILAND,450,241408,2350,465759
AE,UNITED ARAB EMIRATES,74250,3063520,222750,9551720
GB,UNITED KINGDOM,40000,4094214,80500,8564983
US,UNITED STATES,90778,10456489,202234,30357057
VN,VIETNAM,58614,5090268,88660,7493349
SUM,SUM,1910244,176031340,4213309,375904449
