"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'CIF (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'CIF (Baht)')"
AU,AUSTRALIA,23170,578659,701252,19205110
AT,AUSTRIA,0,0,16500,960740
BE,BELGIUM,89800,5716763,981164,57409969
BR,BRAZIL,0,0,244500,23076752
CA,CANADA,0,0,51711,3689127
CN,CHINA,11800,972055,2344360,108007468
DK,DENMARK,0,0,54,28988
FI,FINLAND,0,0,46750,2574007
FR,FRANCE,0,0,1600,92997
DE,GERMANY,4872,2409683,281617,47935406
HK,HONG KONG,0,0,22,4633
IN,INDIA,0,0,1000,167776
ID,INDONESIA,17525,851869,63851,2914724
IL,ISRAEL,0,0,25,12667
IT,ITALY,0,179,195331,10043977
JP,JAPAN,1781305,90000517,15814192,832076256
KR,"KOREA,REPUBLIC OF",44000,1886300,986775,46308452
KW,KUWAIT,643500,26285355,7152750,310122127
MY,MALAYSIA,910002,41300747,3669784,164107417
NL,NETHERLANDS,1375,155540,36150,2691651
QA,QATAR,484500,21138199,5958000,268885336
SA,SAUDI ARABIA,4013500,166745579,33533350,1437895839
SG,SINGAPORE,1763080,78386342,18377789,812169647
SE,SWEDEN,11000,912685,11000,912685
CH,SWITZERLAND,0,0,80,74769
TW,"TAIWAN, PROVINCE OF CHINA",0,0,87635,5401085
TH,THAILAND,3790,289808,3816,294435
AE,UNITED ARAB EMIRATES,1101375,47226389,11347525,474009380
GB,UNITED KINGDOM,0,0,20,4738
US,UNITED STATES,181133,9927854,4591815,238297702
VN,VIETNAM,0,0,500,32442
SUM,SUM,11085727,494784523,106500918,4869408302
