"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'CIF (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,150,49408
AT,AUSTRIA,0,0,371250,19075694
BE,BELGIUM,173225,10265541,285625,16852213
BR,BRAZIL,0,0,200,58427
CA,CANADA,0,0,11000,647584
CN,CHINA,88000,7017089,157750,12430237
DE,GERMANY,0,0,2750,305561
ID,INDONESIA,36250,3243058,168945,15683385
IL,ISRAEL,0,0,100,3263
JP,JAPAN,748990,50203284,2279695,150824719
KR,"KOREA,REPUBLIC OF",0,0,22400,1373811
KW,KUWAIT,0,0,742500,37302734
MY,MALAYSIA,998000,53147585,7901200,433152594
MX,MEXICO,200,305765,200,305765
NL,NETHERLANDS,20000,1199114,140000,8444956
QA,QATAR,357000,18090016,1147500,57572195
SA,SAUDI ARABIA,2284250,118749010,14923100,761433399
SG,SINGAPORE,176250,9460732,1531250,83510795
AE,UNITED ARAB EMIRATES,495000,26360233,2349725,124984384
US,UNITED STATES,218176,15585600,950956,70036122
SUM,SUM,5595341,313627027,32986296,1794047246
