"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'CIF (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'CIF (Baht)')"
AU,AUSTRALIA,1375,96374,45400,1040000
AT,AUSTRIA,0,0,610,162616
BE,BELGIUM,100780,3323813,857846,29125282
BR,BRAZIL,300000,21296194,1553550,123239567
CA,CANADA,11000,560724,11000,560724
CN,CHINA,49300,2538451,696773,32382084
CZ,CZECH REPUBLIC,0,0,75,16883
FR,FRANCE,22000,801015,426700,18869472
DE,GERMANY,661410,24297694,1389555,85083408
GR,GREECE,2,800,2,800
HK,HONG KONG,8000,699534,8007,702389
IN,INDIA,0,0,59500,1659169
ID,INDONESIA,0,0,2558,180224
IL,ISRAEL,0,0,450,83962
IT,ITALY,1381205,48449954,3622800,150169452
JP,JAPAN,588708,27941969,7020770,350784257
KR,"KOREA,REPUBLIC OF",1089000,34364591,6323070,186095667
KW,KUWAIT,519750,13854256,4851000,124219954
MY,MALAYSIA,141050,3699872,8419700,250377201
NL,NETHERLANDS,0,25007,22007,2083815
NO,NORWAY,0,0,82,18765
PT,PORTUGAL,0,0,50,17307
QA,QATAR,1288700,35676857,9568540,262073014
SA,SAUDI ARABIA,767250,20864424,11054250,282108862
SG,SINGAPORE,1271750,38722629,10474435,297254818
CH,SWITZERLAND,0,0,269220,11807589
TW,"TAIWAN, PROVINCE OF CHINA",60000,2504141,1584875,64945822
TH,THAILAND,0,0,16475,814305
AE,UNITED ARAB EMIRATES,1485500,41331827,11692418,333986325
US,UNITED STATES,1774880,51240803,18496357,533708915
VN,VIETNAM,100,3186,100,3186
SUM,SUM,11521760,372294115,98468175,3143575834
