"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'CIF (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,9000,927415
CN,CHINA,5000,530644,41306,3500535
DE,GERMANY,1500,314966,13650,2490523
JP,JAPAN,43960,469839,132813,6543681
KR,"KOREA,REPUBLIC OF",0,0,23375,1525681
NL,NETHERLANDS,74250,3419916,990500,47657136
SA,SAUDI ARABIA,99000,3782942,1431000,57976492
SG,SINGAPORE,1605870,78382646,12159850,710667875
ES,SPAIN,8800,580192,130750,7502760
TH,THAILAND,0,0,25,17268
AE,UNITED ARAB EMIRATES,46750,1854688,2446325,99708323
GB,UNITED KINGDOM,0,0,25,14852
US,UNITED STATES,400,21204,255870,20100057
SUM,SUM,1885530,89357037,17634489,958632598
