"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'CIF (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'CIF (Baht)')"
AU,AUSTRALIA,5,1732,5,1732
AT,AUSTRIA,0,0,964,98362
BE,BELGIUM,74250,3407176,717950,34808193
BR,BRAZIL,5500,438927,6000,496901
CA,CANADA,0,0,74385,3586550
CN,CHINA,100000,7474749,877578,64484665
FR,FRANCE,0,0,25,4170
DE,GERMANY,0,0,0,331
ID,INDONESIA,64725,5628581,873590,52876543
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,120,30350
IL,ISRAEL,0,0,5040,361355
IT,ITALY,25,10486,25,10486
JP,JAPAN,35000,3499417,2488169,156461069
KR,"KOREA,REPUBLIC OF",25400,1290945,382200,17129512
KW,KUWAIT,272250,10270908,1584000,62831686
MY,MALAYSIA,65900,2903539,3982421,189683826
NL,NETHERLANDS,40000,1794797,576025,28254332
QA,QATAR,382500,14479665,3289500,131736028
SA,SAUDI ARABIA,3000600,118543147,31048568,1272244447
SG,SINGAPORE,843000,35619080,5886829,258678286
ZA,SOUTH AFRICA,0,0,49500,2166292
ES,SPAIN,74250,3160279,174250,7719882
TW,"TAIWAN, PROVINCE OF CHINA",6000,4768613,6075,4775445
TH,THAILAND,0,0,26550,1777961
AE,UNITED ARAB EMIRATES,675575,27306661,7705725,319521737
GB,UNITED KINGDOM,0,0,12,6742
US,UNITED STATES,190675,8610919,1590316,96894250
VN,VIETNAM,15,2684,65,7856
SUM,SUM,5855670,249212305,61345887,2706648989
