"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2020', 'Quantity')","('Jul 2020', 'CIF (Baht)')","('Jan - Jul 2020', 'Quantity')","('Jan - Jul 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,108,45991
AT,AUSTRIA,0,0,2750,231487
BD,BANGLADESH,20,4646,36,7135
BE,BELGIUM,22000,985047,338190,15007118
BR,BRAZIL,0,0,1100,189966
CA,CANADA,0,0,34250,2424630
CN,CHINA,199600,4161373,1249430,38537127
FR,FRANCE,0,0,49500,2270559
DE,GERMANY,0,0,22460,946382
HK,HONG KONG,0,0,2,379
IN,INDIA,0,0,950,3116083
ID,INDONESIA,0,0,1,73
IT,ITALY,15000,1915739,199850,21538626
JP,JAPAN,286892,13700950,1450170,89179035
KR,"KOREA,REPUBLIC OF",2103058,74380960,10957093,480133223
MY,MALAYSIA,27810,2228018,203786,16095758
PT,PORTUGAL,0,0,48384,5272876
SA,SAUDI ARABIA,0,0,420750,16959621
SG,SINGAPORE,0,0,52961,1848131
ES,SPAIN,0,0,5,2407
SE,SWEDEN,0,0,53200,2033716
TW,"TAIWAN, PROVINCE OF CHINA",657122,24796175,5198203,240354888
TH,THAILAND,0,0,22075,952926
GB,UNITED KINGDOM,0,0,20495,2051030
US,UNITED STATES,36350,1792675,1077827,54793887
VN,VIETNAM,21210,783397,64570,2561777
SUM,SUM,3369062,124748980,21468146,996554831
