"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'CIF (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,2500,163506
AT,AUSTRIA,3,2512,3,2512
BE,BELGIUM,92250,5802732,367725,23710981
CN,CHINA,1215302,76987010,4745503,299543726
FI,FINLAND,23375,1461250,66000,4203595
FR,FRANCE,74875,4398388,110912,7314120
DE,GERMANY,19925,5287546,126245,22049931
HK,HONG KONG,0,0,16864,986804
IN,INDIA,50,9484,3525,155645
ID,INDONESIA,31064,4674714,71029,9883871
IL,ISRAEL,12040,1250982,12040,1250982
JP,JAPAN,1195509,88210160,4222552,326442101
KP,KOREA DPR,48000,2572900,48000,2572900
KR,"KOREA,REPUBLIC OF",3114690,171672543,10517826,584401849
KW,KUWAIT,0,0,49500,2107363
MY,MALAYSIA,102532,11172787,459620,53372579
NL,NETHERLANDS,148500,12399695,365500,31025825
NZ,NEW ZEALAND,8750,564857,8750,564857
SA,SAUDI ARABIA,3220500,146992960,14230680,642477871
SG,SINGAPORE,1453773,76663086,5768538,311880700
ES,SPAIN,11000,1153846,46750,5155302
CH,SWITZERLAND,0,0,100,472844
TW,"TAIWAN, PROVINCE OF CHINA",71400,5249191,620685,33481696
AE,UNITED ARAB EMIRATES,159500,7122449,393830,17489632
GB,UNITED KINGDOM,500,72156,500,72156
US,UNITED STATES,139574,9958113,923221,52147489
VN,VIETNAM,1233,171962,5088,1233123
SUM,SUM,11144345,633851323,43183486,2434163960
