"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'CIF (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'CIF (Baht)')"
BE,BELGIUM,4000,320596,4000,320596
CN,CHINA,29550,4532918,70272,12385150
FR,FRANCE,74475,3900117,148775,7770775
DE,GERMANY,3,2081,6857,985466
HK,HONG KONG,1100,147231,2375,270817
ID,INDONESIA,14250,1598383,38975,4232682
IT,ITALY,5502,763127,5502,763127
JP,JAPAN,1061631,68481294,2198079,140877123
KR,"KOREA,REPUBLIC OF",278500,12598388,754500,33813237
MY,MALAYSIA,96000,4005289,170950,6539613
NL,NETHERLANDS,182875,10109400,246125,14912824
SA,SAUDI ARABIA,173250,6222304,321750,11683617
SG,SINGAPORE,4851425,209995731,9106325,399579406
ZA,SOUTH AFRICA,99000,3209970,99000,3209970
TW,"TAIWAN, PROVINCE OF CHINA",107500,4434152,330500,14622897
TR,TÜRKIYE,0,0,243,27257
AE,UNITED ARAB EMIRATES,330000,11581775,973650,34906374
US,UNITED STATES,31001,2356269,79843,6510012
SUM,SUM,7340062,344259025,14557721,693410943
