"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'CIF (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'CIF (Baht)')"
AU,AUSTRALIA,5000,372702,5000,372702
BE,BELGIUM,36320,1635668,152630,7278166
CN,CHINA,349626,25025463,1072925,68030808
DE,GERMANY,22500,1133421,30126,1745100
HK,HONG KONG,0,0,100,15301
IN,INDIA,0,0,2400,230376
ID,INDONESIA,13100,1098341,61287,4661609
IL,ISRAEL,0,0,24200,1573878
JP,JAPAN,233747,15176213,1493827,90675242
KR,"KOREA,REPUBLIC OF",770400,29533958,3374650,125085419
MY,MALAYSIA,350593,13181641,1426821,55219768
OM,OMAN,123750,3594088,148500,4335859
SA,SAUDI ARABIA,1207500,37315739,4875500,150916883
SG,SINGAPORE,742650,26910847,1873760,69275096
ES,SPAIN,0,0,16500,1322228
TW,"TAIWAN, PROVINCE OF CHINA",73000,3029675,240585,9307452
TH,THAILAND,5975,274093,22975,836615
AE,UNITED ARAB EMIRATES,26750,865610,272000,8662472
US,UNITED STATES,17812,1190538,107713,8403150
SUM,SUM,3978723,160337997,15201499,607948124
