"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
BE,BELGIUM,60950,2894821,116310,5642498
CN,CHINA,226175,14425218,723299,43005345
DE,GERMANY,7626,611679,7626,611679
HK,HONG KONG,0,0,100,15301
IN,INDIA,300,20296,2400,230376
ID,INDONESIA,6125,467949,48187,3563268
IL,ISRAEL,0,0,24200,1573878
JP,JAPAN,378072,23305049,1260080,75499029
KR,"KOREA,REPUBLIC OF",737600,28792963,2604250,95551461
MY,MALAYSIA,952871,31671054,1076228,42038127
OM,OMAN,0,0,24750,741771
SA,SAUDI ARABIA,1191500,36972586,3668000,113601144
SG,SINGAPORE,395100,15274056,1131110,42364249
ES,SPAIN,8250,669621,16500,1322228
TW,"TAIWAN, PROVINCE OF CHINA",1915,95785,167585,6277777
TH,THAILAND,0,0,17000,562522
AE,UNITED ARAB EMIRATES,24750,799955,245250,7796862
US,UNITED STATES,39417,3647852,89901,7212612
SUM,SUM,4030651,159648884,11222776,447610127
