"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'CIF (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'CIF (Baht)')"
BE,BELGIUM,74250,3294777,74250,3294777
CN,CHINA,11000,849682,11000,849682
FR,FRANCE,20850,1692538,20850,1692538
IN,INDIA,24800,1012834,24800,1012834
ID,INDONESIA,56725,4763994,56725,4763994
JP,JAPAN,67000,5698750,67000,5698750
KR,"KOREA,REPUBLIC OF",141300,6308084,141300,6308084
KW,KUWAIT,173250,6434983,173250,6434983
MY,MALAYSIA,255825,11065904,255825,11065904
QA,QATAR,459000,17365455,459000,17365455
SA,SAUDI ARABIA,3383400,133569789,3383400,133569789
SG,SINGAPORE,995675,41435201,995675,41435201
ES,SPAIN,11000,480884,11000,480884
AE,UNITED ARAB EMIRATES,631775,25693897,631775,25693897
US,UNITED STATES,121310,5859193,121310,5859193
VN,VIETNAM,5,946,5,946
SUM,SUM,6427165,265526911,6427165,265526911
