"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'CIF (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'CIF (Baht)')"
AU,AUSTRALIA,3240,332707,3240,332707
AT,AUSTRIA,650,318054,650,318054
BE,BELGIUM,47626,2655481,47626,2655481
CA,CANADA,104250,5969019,104250,5969019
CN,CHINA,413070,19443956,413070,19443956
DE,GERMANY,53525,4973958,53525,4973958
HK,HONG KONG,79090,1213731,79090,1213731
IN,INDIA,10,1590,10,1590
JP,JAPAN,422168,47797042,422168,47797042
KR,"KOREA,REPUBLIC OF",73020,5154097,73020,5154097
MY,MALAYSIA,41035,3296824,41035,3296824
NL,NETHERLANDS,25,14945,25,14945
SA,SAUDI ARABIA,788850,39899166,788850,39899166
SG,SINGAPORE,1478875,87077163,1478875,87077163
LK,SRI LANKA,1,146,1,146
TW,"TAIWAN, PROVINCE OF CHINA",153030,9744035,153030,9744035
TH,THAILAND,2600,368349,2600,368349
AE,UNITED ARAB EMIRATES,49400,2774493,49400,2774493
GB,UNITED KINGDOM,150,34088,150,34088
US,UNITED STATES,1130547,91110090,1130547,91110090
VN,VIETNAM,17500,1521140,17500,1521140
SUM,SUM,4858662,323700074,4858662,323700074
