"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'CIF (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2442246
CN,CHINA,24000,1524672,207300,12319451
FI,FINLAND,0,0,24750,1580163
HK,HONG KONG,50800,2564791,278910,21423951
IT,ITALY,0,0,1435,373889
JP,JAPAN,0,0,9006,931535
KR,"KOREA,REPUBLIC OF",77200,4962406,956466,62859436
MY,MALAYSIA,10000,756899,20600,1431609
NZ,NEW ZEALAND,0,0,631,379177
SA,SAUDI ARABIA,0,0,550,27825
SG,SINGAPORE,41910,3643536,538267,35045081
ES,SPAIN,0,0,3500,934107
SE,SWEDEN,0,0,112000,8899228
AE,UNITED ARAB EMIRATES,217400,10515888,1123098,54653231
GB,UNITED KINGDOM,0,0,17250,1888151
US,UNITED STATES,149635,8454612,1168693,66445996
VN,VIETNAM,0,0,193089,11264716
SUM,SUM,570945,32422804,4679545,282899792
